group,names,scores,logfoldchanges,pvals,pvals_adj
0,Dner,36.767067,0.61561304,6.205145851347359e-296,8.56920469700822e-294
0,Evl,36.679348,0.5492584,1.5588535322638908e-294,2.1439644335985333e-292
0,Gpc2,36.61857,0.98975575,1.4485805687334338e-293,1.984202066830967e-291
0,Prkar2b,36.56995,0.76529384,8.593560846303024e-293,1.172342616506181e-290
0,Nol4,36.478195,0.7101395,2.4586452522573405e-291,3.340585097583199e-289
0,Slf1,36.45025,0.7331249,6.816823775597861e-291,9.22488730692954e-289
0,Magi2,36.437973,0.630763,1.0666803549531702e-290,1.4377144496200809e-288
0,Klf7,36.41398,0.6058914,2.55814653889356e-290,3.4070871847651145e-288
0,Dlgap4,36.40716,0.65076107,3.279318053153895e-290,4.350389807837545e-288
0,Elavl2,36.0244,0.6581193,3.4722212368747985e-284,4.570311203036453e-282
0,Lrrtm4,35.947002,0.9474352,5.6379222813991865e-283,7.392040046460194e-281
0,Ptprd,35.86068,0.5906917,1.2536199905959433e-281,1.6309644479969461e-279
0,Chrm3,35.8495,1.5176052,1.8723996004206495e-281,2.426629882145162e-279
0,Meis2,35.778675,0.6045248,2.3705669529311934e-280,3.048802444502652e-278
0,Pcdh17,35.721554,0.7262614,1.8299267743242553e-279,2.3445327980087493e-277
0,Gm17750,35.714195,0.7410751,2.380467960642146e-279,3.038342742492339e-277
0,Zfpm2,35.603374,0.70553243,1.2421910215180734e-277,1.561823457502724e-275
0,Dlg2,35.580082,0.6797486,2.847932613917234e-277,3.5674326155596695e-275
0,Cdh2,35.576813,0.50040644,3.1995302633597e-277,3.9930137686729056e-275
0,Gdpd1,35.554302,0.682308,7.129549828344491e-277,8.864845424940811e-275
0,Xkr4,35.53635,0.7148477,1.350129098556556e-276,1.6664450587898063e-274
0,Acvr2a,35.50876,0.70408404,3.6007846480851984e-276,4.428176624156162e-274
0,Cep170,35.410133,0.55996114,1.1923959708714737e-274,1.4557599505248252e-272
0,Atat1,35.386387,0.72024316,2.765547224458137e-274,3.364183367340844e-272
0,Sh3kbp1,35.288055,0.8119053,8.954119526513595e-273,1.0814265647505451e-270
0,Znrf2,35.22297,0.86465126,8.900439586759316e-272,1.0711043296980067e-269
0,Plppr3,35.20751,0.8234322,1.534481978804855e-271,1.8400677849753876e-269
0,Angpt1,35.068146,1.0995941,2.0628767257840218e-269,2.4475596532400844e-267
0,Cacna2d1,35.061146,0.672773,2.6371280803267352e-269,3.117918168234725e-267
0,Kidins220,35.05977,0.59394574,2.767842777156108e-269,3.2610220356311963e-267
0,Myl12b,35.042755,0.53318787,5.026945000327197e-269,5.902018771115862e-267
0,Usp22,34.990356,0.60480875,3.15364158639259e-268,3.68976065607933e-266
0,Fat4,34.93488,0.85799545,2.197216404675917e-267,2.535527533286291e-265
0,Csrp2,34.789585,0.8526906,3.495608386212135e-265,4.02006894818444e-263
0,Pgrmc1,34.74466,0.5855937,1.6687835709117378e-264,1.9126303131102693e-262
0,Tmem35a,34.73667,0.87386924,2.203180283841033e-264,2.5165546726883878e-262
0,Cdc42ep3,34.713905,1.1689181,4.860290371533006e-264,5.51422034879381e-262
0,Cenpv,34.69369,0.6395601,9.807191710331557e-264,1.108936684131987e-261
0,Gpr85,34.679523,1.0242753,1.603819436403097e-263,1.8074347735464467e-261
0,Frmd4a,34.343716,0.6402463,1.7481235793577188e-258,1.9440518854797916e-256
0,Srrm4,34.24592,0.68665785,5.016022708551833e-257,5.559865170636926e-255
0,Gabrb3,34.154068,0.65134764,1.163546540072285e-255,1.2854709578451054e-253
0,Asxl3,34.05503,0.80169255,3.41920742726909e-254,3.7165681764277176e-252
0,Limch1,34.045982,0.68668175,4.654014790013221e-254,5.042497825218183e-252
0,Zcchc18,34.031532,0.6637145,7.614348931682929e-254,8.223496846217564e-252
0,Ttc28,33.980145,0.55121166,4.3775163598044115e-253,4.697604817196479e-251
0,Bicd1,33.854263,0.65451634,3.140903412620432e-251,3.349236752900572e-249
0,Maco1,33.829388,0.65229696,7.294803342117843e-251,7.754122820694097e-249
0,Ttc9b,33.809967,0.644534,1.4077159427766487e-250,1.4916476857799356e-248
0,Smim18,33.766693,1.034757,6.081841284562857e-250,6.4242546684837e-248
